date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_score,away_score,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2020-10-13,Ecuador,Uruguay,74,79,72,79,75,78,4,2,64,6,1368,1645,FIFA World Cup qualification,Quito,Ecuador,FALSE
2020-10-13,Venezuela,Paraguay,74,73,73,75,70,72,0,1,25,40,1517,1461,FIFA World Cup qualification,Mérida,Venezuela,FALSE
2020-10-13,Peru,Brazil,77,81,74,79,72,80,2,4,22,3,1544,1712,FIFA World Cup qualification,Lima,Peru,FALSE
2020-10-13,Chile,Colombia,75,80,78,79,71,78,2,2,17,10,1579,1622,FIFA World Cup qualification,Santiago,Chile,FALSE
2020-10-14,Italy,Netherlands,83,82,82,83,82,83,1,1,12,13,1612,1603,UEFA Nations League,Bergamo,Italy,FALSE
2020-10-14,Iceland,Belgium,70,84,73,82,70,82,1,2,41,1,1457,1773,UEFA Nations League,Reykjavík,Iceland,FALSE
2020-10-14,England,Denmark,84,77,82,80,82,77,0,1,4,16,1664,1593,UEFA Nations League,London,England,FALSE
2020-10-14,Portugal,Sweden,86,76,83,75,82,75,3,0,5,18,1653,1567,UEFA Nations League,Lisbon,Portugal,FALSE
2020-10-14,Norway,Northern Ireland,79,65,76,68,74,74,1,0,44,38,1452,1468,UEFA Nations League,Oslo,Norway,FALSE
2020-10-14,Romania,Austria,71,82,73,79,71,76,0,1,34,27,1483,1505,UEFA Nations League,Ploiești,Romania,FALSE
2020-10-14,Scotland,Czech Republic,68,76,76,76,74,76,1,0,49,45,1428,1446,UEFA Nations League,Glasgow,Scotland,FALSE
2020-10-14,Russia,Hungary,77,71,77,70,76,70,0,0,32,52,1485,1418,UEFA Nations League,Moscow,Russia,FALSE
2020-10-14,Finland,Republic of Ireland,71,71,69,74,68,78,1,0,56,37,1390,1475,UEFA Nations League,Helsinki,Finland,FALSE
2020-10-14,Bulgaria,Wales,67,69,68,76,67,73,0,1,60,21,1378,1550,UEFA Nations League,Sofia,Bulgaria,FALSE
2020-11-11,Belgium,Switzerland,86,75,82,80,82,78,2,1,1,16,1765,1589,Friendly,Leuven,Belgium,FALSE
2020-11-11,Denmark,Sweden,77,77,80,75,77,75,2,0,13,19,1610,1558,Friendly,Brondbyvester,Denmark,FALSE
2020-11-11,France,Finland,84,74,85,68,83,67,0,2,2,55,1752,1402,Friendly,Paris,France,FALSE
2020-11-11,Germany,Czech Republic,85,78,84,76,82,76,1,0,14,45,1607,1446,Friendly,Leipzig,Germany,FALSE
2020-11-11,Netherlands,Spain,82,80,82,84,84,83,1,1,15,6,1596,1639,Friendly,Amsterdam,Netherlands,FALSE
2020-11-12,Hungary,Iceland,71,70,69,73,71,69,2,1,47,39,1439,1461,UEFA Euro qualification,Budapest,Hungary,FALSE
2020-11-12,England,Republic of Ireland,86,73,82,72,82,78,3,0,4,36,1669,1467,Friendly,London,England,FALSE
2020-11-12,Wales,United States,70,76,75,73,72,74,0,0,20,22,1550,1542,Friendly,Cardiff,Wales,FALSE
2020-11-12,Bolivia,Ecuador,65,74,67,72,65,75,2,3,79,60,1314,1380,FIFA World Cup qualification,La Paz,Bolivia,FALSE
2020-11-12,Argentina,Paraguay,87,75,82,75,79,72,1,1,8,35,1636,1476,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE
2020-11-13,Colombia,Uruguay,80,79,78,79,78,78,0,3,10,7,1631,1637,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
2020-11-13,Chile,Peru,77,77,77,74,72,72,2,0,17,24,1570,1533,FIFA World Cup qualification,Santiago,Chile,FALSE
2020-11-13,Brazil,Venezuela,81,75,79,73,80,71,1,0,3,28,1725,1493,FIFA World Cup qualification,São Paulo,Brazil,FALSE
2020-11-14,Portugal,France,87,84,83,85,82,83,0,1,5,2,1661,1752,UEFA Nations League,Lisbon,Portugal,FALSE
2020-11-14,Switzerland,Spain,75,80,80,84,78,84,1,1,16,6,1589,1639,UEFA Nations League,Basel,Switzerland,FALSE
2020-11-15,Italy,Poland,83,83,82,73,83,73,2,0,12,18,1612,1568,UEFA Nations League,Reggio Emilia,Italy,FALSE
2020-11-15,Belgium,England,86,86,82,82,82,82,2,0,1,4,1765,1669,UEFA Nations League,Leuven,Belgium,FALSE
2020-11-15,Denmark,Iceland,77,70,80,73,77,69,2,1,13,39,1610,1461,UEFA Nations League,Copenhagen,Denmark,FALSE
2020-11-15,Austria,Northern Ireland,82,65,78,69,78,74,2,1,25,41,1523,1458,UEFA Nations League,Vienna,Austria,FALSE
2020-11-15,Romania,Norway,72,79,73,77,70,73,3,0,44,43,1455,1456,UEFA Nations League,Bucharest,Romania,FALSE
2020-11-15,Turkey,Russia,76,76,76,76,76,75,3,2,33,34,1486,1480,UEFA Nations League,Istanbul,Turkey,FALSE
2020-11-15,Wales,Republic of Ireland,70,73,75,72,72,78,1,0,20,36,1550,1467,UEFA Nations League,Cardiff,Wales,FALSE
2020-11-15,Bulgaria,Finland,70,74,67,68,68,67,1,2,66,55,1354,1402,UEFA Nations League,Sofia,Bulgaria,FALSE
2020-11-17,France,Sweden,84,77,85,75,83,75,4,2,2,19,1752,1558,UEFA Nations League,Paris,France,FALSE
2020-11-17,Spain,Germany,80,85,84,84,84,82,6,0,6,14,1639,1607,UEFA Nations League,Seville,Spain,FALSE
2020-11-17,Ecuador,Colombia,74,80,72,78,75,78,6,1,60,10,1380,1631,FIFA World Cup qualification,Quito,Ecuador,FALSE
2020-11-17,Venezuela,Chile,75,77,72,78,71,71,2,1,28,17,1493,1570,FIFA World Cup qualification,Caracas,Venezuela,FALSE
2020-11-17,Peru,Argentina,77,87,74,82,72,79,0,2,24,8,1533,1636,FIFA World Cup qualification,Lima,Peru,FALSE
2020-11-17,Paraguay,Bolivia,76,60,74,66,74,65,2,2,35,79,1476,1314,FIFA World Cup qualification,Asunción,Paraguay,FALSE
2020-11-17,Uruguay,Brazil,79,81,79,79,78,80,0,2,7,3,1637,1725,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
2020-11-18,Poland,Netherlands,83,84,73,82,73,83,1,2,18,15,1568,1596,UEFA Nations League,Chorzów,Poland,FALSE
2020-11-18,England,Iceland,86,70,82,73,82,69,4,0,4,39,1669,1461,UEFA Nations League,London,England,FALSE
2020-11-18,Belgium,Denmark,86,77,82,80,82,77,4,2,1,13,1765,1610,UEFA Nations League,Leuven,Belgium,FALSE
2020-11-18,Northern Ireland,Romania,65,72,69,73,74,70,1,1,41,44,1458,1455,UEFA Nations League,Belfast,Northern Ireland,FALSE
2020-11-18,Austria,Norway,82,79,78,77,78,73,1,1,25,43,1523,1456,UEFA Nations League,Vienna,Austria,FALSE
2020-11-18,Hungary,Turkey,71,76,69,76,71,76,2,0,47,33,1439,1486,UEFA Nations League,Budapest,Hungary,FALSE
