date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2022-12-17,Croatia,Morocco,80,79,83,73,78,78,12,22,1645.64,1563.5,FIFA World Cup,Al Rayyan,Qatar,TRUE
2022-12-18,Argentina,France,86,86,84,82,82,82,3,4,1773.88,1759.78,FIFA World Cup,Lusail,Qatar,TRUE
