date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2022-12-13,Argentina,Croatia,85,83,83,82,83,78,3,12,1773.88,1645.64,FIFA World Cup,Lusail,Qatar,TRUE
2022-12-14,France,Morocco,86,76,84,74,83,78,4,22,1759.78,1563.5,FIFA World Cup,Al Khor,Qatar,TRUE
