date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2022-12-09,Croatia,Brazil,80,85,83,85,78,83,12,1,1645.64,1841.3,FIFA World Cup,Al Rayyan,Qatar,TRUE
2022-12-09,Netherlands,Argentina,82,86,82,84,83,82,8,3,1694.51,1773.88,FIFA World Cup,Lusail,Qatar,TRUE
2022-12-10,Morocco,Portugal,79,83,73,83,78,84,22,9,1563.5,1676.56,FIFA World Cup,Doha,Qatar,TRUE
2022-12-10,England,France,86,86,83,82,83,82,5,4,1728.47,1759.78,FIFA World Cup,Al Khor,Qatar,TRUE
